# Taken from Tsantaki et al. 2013, A&A, 555, A150
# lambda (angstroms); EP (ev), EW (mA) - Sun
# lambda	EP	loggf	El	EW
# -------	-----	------	----	-----
4508.28	 2.86	-2.403		 87.3
4520.22	 2.81	-2.563		 81.9
4576.34	 2.84	-2.947		 64.9
4656.98	 2.89	-3.676		 33.8
4731.47	 2.89	-2.515		 82.1
4923.93	 2.89	-1.541		154.3
5197.57	 3.23	-2.293		 80.1
5234.63	 3.22	-2.235		 83.5
5264.81	 3.23	-3.091		 45.6
5337.75	 3.23	-3.338		 35.5
5414.07	 3.22	-3.568		 26.9
5991.38	 3.15	-3.539		 31.2
6149.25	 3.89	-2.719		 36.2
6247.56	 3.89	-2.347		 52.2
6442.97	 5.55	-2.399		  5.1
6456.39	 3.90	-2.110		 63.0
6516.09	 2.89	-3.279		 54.2
